Geneid,Genesymbol,Genebiotype,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000002822,MAD1L1,protein_coding,4,5,2,5,1,2,3,4
ENSG00000002834,LASP1,protein_coding,4015,4530,4146,4826,6525,2253,2575,6776
ENSG00000002919,SNX11,protein_coding,336,345,356,557,419,141,163,430
ENSG00000002933,TMEM176A,protein_coding,6,1,1,1,0,0,0,0
ENSG00000003056,M6PR,protein_coding,2144,2419,2274,2699,2620,980,1252,2935
ENSG00000003096,KLHL13,protein_coding,69,92,121,211,276,85,119,279
ENSG00000003137,CYP26B1,protein_coding,52,86,32,35,615,182,188,470
ENSG00000003147,ICA1,protein_coding,2587,2769,2701,3406,30,18,14,60
ENSG00000003249,DBNDD1,protein_coding,2037,2298,1503,2319,527,142,180,427
ENSG00000003393,ALS2,protein_coding,2105,2273,1837,1966,794,259,302,980
ENSG00000003400,CASP10,protein_coding,46,53,69,76,1,3,4,5
ENSG00000003402,CFLAR,protein_coding,2496,2961,2597,2697,759,248,289,795
ENSG00000003436,TFPI,protein_coding,9048,10230,4862,5114,2919,952,612,1836
ENSG00000003509,NDUFAF7,protein_coding,862,940,898,1097,369,163,205,537
ENSG00000003756,RBM5,protein_coding,3597,3756,2889,3700,710,207,240,750
ENSG00000003987,MTMR7,protein_coding,42,63,27,23,30,8,9,38
ENSG00000003989,SLC7A2,protein_coding,779,923,583,633,145,32,108,318
ENSG00000004059,ARF5,protein_coding,2840,3270,2369,4002,736,311,377,1012
ENSG00000004139,SARM1,protein_coding,364,426,520,650,33,12,37,98
ENSG00000004142,POLDIP2,protein_coding,4180,4811,5408,7502,1220,450,666,1584
ENSG00000004399,PLXND1,protein_coding,258,255,85,90,156,67,68,223
ENSG00000004455,AK2,protein_coding,7357,8945,8524,9315,3560,1221,1128,3143
ENSG00000004468,CD38,protein_coding,1,3,9,7,2,1,0,4
ENSG00000004478,FKBP4,protein_coding,7701,9940,12036,13881,3125,1021,1390,3397
ENSG00000004487,KDM1A,protein_coding,4739,5697,3773,4169,1832,622,735,2000
ENSG00000004534,RBM6,protein_coding,7763,8459,4896,5835,552,173,221,565
ENSG00000004660,CAMKK1,protein_coding,496,673,632,721,101,64,114,234
ENSG00000004700,RECQL,protein_coding,1318,1573,1608,1624,2369,826,656,1855
ENSG00000004766,VPS50,protein_coding,699,879,1143,1082,963,303,371,1060
ENSG00000004776,HSPB6,protein_coding,30,32,21,29,6,0,0,5
ENSG00000004777,ARHGAP33,protein_coding,1238,1163,675,912,32,23,27,64
ENSG00000004779,NDUFAB1,protein_coding,2298,2902,2926,4236,860,304,299,847
ENSG00000004799,PDK4,protein_coding,0,0,2,1,49,15,23,66
ENSG00000004809,SLC22A16,protein_coding,7,10,12,14,2,0,1,3
ENSG00000004838,ZMYND10,protein_coding,76,66,73,90,9,0,2,8
ENSG00000004846,ABCB5,protein_coding,8,17,41,45,3,1,0,8
ENSG00000004848,ARX,protein_coding,39,43,45,79,3,1,2,6
ENSG00000004864,SLC25A13,protein_coding,1270,1691,1718,1897,1011,314,425,1096
ENSG00000004866,ST7,protein_coding,6058,6008,3963,5484,481,183,250,647
ENSG00000004897,CDC27,protein_coding,6038,7517,6791,6819,13997,4251,3372,9790
ENSG00000004939,SLC4A1,protein_coding,6,2,6,5,1,0,0,7
ENSG00000004948,CALCR,protein_coding,1,1,0,0,0,0,0,1
ENSG00000004961,HCCS,protein_coding,1059,1244,859,1097,749,289,352,884
ENSG00000004975,DVL2,protein_coding,2339,2677,1527,2049,642,266,300,786
ENSG00000005001,PRSS22,protein_coding,9,8,6,7,8,2,5,15
ENSG00000005007,UPF1,protein_coding,3736,4481,3097,3703,452,145,181,407
ENSG00000005020,SKAP2,protein_coding,2666,2971,2456,2774,1040,408,334,1187
ENSG00000005022,SLC25A5,protein_coding,5822,7116,6956,8487,3049,1022,1043,2879
ENSG00000005059,MCUB,protein_coding,19,28,36,45,645,201,146,401
ENSG00000005073,HOXA11,protein_coding,8,12,4,2,241,70,83,222
ENSG00000005075,POLR2J,protein_coding,436,536,489,821,293,120,202,407
ENSG00000005100,DHX33,protein_coding,2027,2452,1740,2071,361,117,200,511
ENSG00000005102,MEOX1,protein_coding,0,0,0,0,5,1,2,6
ENSG00000005108,THSD7A,protein_coding,92,125,6,9,1,0,0,2
ENSG00000005156,LIG3,protein_coding,2277,2638,2769,3021,587,214,394,1039
ENSG00000005175,RPAP3,protein_coding,5057,5544,5800,6180,2804,772,949,2740
ENSG00000005187,ACSM3,protein_coding,890,932,1747,1849,64,19,34,135
ENSG00000005189,REXO5,protein_coding,777,872,739,772,107,53,65,175
ENSG00000005194,CIAPIN1,protein_coding,1129,1365,1167,1661,598,187,271,793
ENSG00000005206,SPPL2B,protein_coding,1084,1094,737,1108,83,48,74,145
ENSG00000005238,FAM214B,protein_coding,1399,1404,849,1494,528,203,158,378
ENSG00000005243,COPZ2,protein_coding,0,2,4,4,13,9,14,24
ENSG00000005249,PRKAR2B,protein_coding,1436,1529,1220,1231,66,25,24,107
ENSG00000005302,MSL3,protein_coding,2314,2912,1603,1826,2602,843,818,2219
ENSG00000005339,CREBBP,protein_coding,4927,5657,3260,4028,1431,456,420,1078
ENSG00000005379,TSPOAP1,protein_coding,215,232,137,225,104,46,78,169
ENSG00000005381,MPO,protein_coding,1,2,0,0,0,0,0,0
ENSG00000005421,PON1,protein_coding,2,3,0,2,3,0,2,8
ENSG00000005436,GCFC2,protein_coding,1379,1648,1532,1600,701,243,324,870
ENSG00000005448,WDR54,protein_coding,459,542,339,539,788,326,164,401
ENSG00000005469,CROT,protein_coding,1000,1282,1135,1434,320,124,176,432
ENSG00000005471,ABCB4,protein_coding,3,3,5,14,7,4,4,7
ENSG00000005483,KMT2E,protein_coding,12660,13769,6702,7271,2616,892,470,1613
ENSG00000005486,RHBDD2,protein_coding,1398,1441,718,1068,339,158,156,377
ENSG00000005513,SOX8,protein_coding,172,172,332,479,33,6,18,39
ENSG00000005700,IBTK,protein_coding,4300,4672,5315,5837,1400,442,487,1342
ENSG00000005801,ZNF195,protein_coding,1736,2152,2022,2098,589,190,260,724
ENSG00000005810,MYCBP2,protein_coding,6155,8104,7672,8265,560,173,198,599
ENSG00000005812,FBXL3,protein_coding,3118,3859,2779,2722,990,310,211,615
ENSG00000005844,ITGAL,protein_coding,24,13,17,5,1,0,0,1
ENSG00000005882,PDK2,protein_coding,1386,1454,1355,1716,444,163,176,571
ENSG00000005884,ITGA3,protein_coding,672,678,359,595,7070,2785,1946,5204
ENSG00000005889,ZFX,protein_coding,2433,2869,1521,1442,3435,1029,1076,2907
ENSG00000005893,LAMP2,protein_coding,6334,7081,7233,7102,5072,1675,1655,4545
ENSG00000005961,ITGA2B,protein_coding,15,10,4,8,26,15,15,44
ENSG00000005981,ASB4,protein_coding,0,0,0,0,1,0,3,3
ENSG00000006007,GDE1,protein_coding,9213,9477,2628,3618,4387,1418,1032,2747
ENSG00000006015,REX1BD,protein_coding,369,430,505,983,148,75,124,292
ENSG00000006016,CRLF1,protein_coding,30,31,10,25,26,8,19,33
ENSG00000006025,OSBPL7,protein_coding,71,100,3,25,224,101,85,220
ENSG00000006042,TMEM98,protein_coding,907,996,1090,1647,740,302,324,925
ENSG00000006047,YBX2,protein_coding,188,211,140,176,2,0,0,5
ENSG00000006059,KRT33A,protein_coding,0,0,0,0,0,0,0,0
ENSG00000006062,MAP3K14,protein_coding,219,264,304,435,563,212,280,762
ENSG00000006071,ABCC8,protein_coding,278,251,274,371,5,2,7,14
ENSG00000006116,CACNG3,protein_coding,0,0,0,0,2,0,0,0
ENSG00000006118,TMEM132A,protein_coding,2365,2734,1494,3182,974,340,429,977
ENSG00000006125,AP2B1,protein_coding,10629,12526,12079,13455,4128,1466,1687,4434
ENSG00000006128,TAC1,protein_coding,0,1,0,0,0,0,0,1
ENSG00000006194,ZNF263,protein_coding,1498,1684,1429,2049,68,25,30,97
ENSG00000006210,CX3CL1,protein_coding,2,2,1,3,5,0,2,3
ENSG00000006282,SPATA20,protein_coding,4274,4939,3876,5567,597,237,337,824
ENSG00000006283,CACNA1G,protein_coding,32,57,9,14,55,19,26,57
ENSG00000006327,TNFRSF12A,protein_coding,524,591,231,385,2660,960,1747,3810
ENSG00000006377,DLX6,protein_coding,1,0,0,0,1,0,2,2
ENSG00000006432,MAP3K9,protein_coding,921,1055,589,800,3611,1245,1238,3077
ENSG00000006451,RALA,protein_coding,2698,2898,2973,3598,1575,506,490,1260
ENSG00000006453,BAIAP2L1,protein_coding,2403,2667,2645,3044,811,284,255,602
ENSG00000006459,KDM7A,protein_coding,1728,1798,941,836,324,83,91,236
ENSG00000006468,ETV1,protein_coding,15030,17307,11372,11365,1925,616,799,2283
ENSG00000006530,AGK,protein_coding,2456,2597,3207,3880,859,302,451,1280
ENSG00000006534,ALDH3B1,protein_coding,156,129,178,167,374,191,334,810
ENSG00000006555,TTC22,protein_coding,0,1,2,2,93,29,30,93
ENSG00000006576,PHTF2,protein_coding,2112,2562,1864,1733,753,259,255,834
ENSG00000006606,CCL26,protein_coding,35,58,2,4,198,64,72,182
ENSG00000006607,FARP2,protein_coding,2734,3274,2175,2441,330,120,105,372
ENSG00000006611,USH1C,protein_coding,12,9,1,3,1,0,0,4
ENSG00000006625,GGCT,protein_coding,2288,2620,4937,6436,469,157,243,541
ENSG00000006634,DBF4,protein_coding,2109,2439,2897,2837,1149,395,496,1371
ENSG00000006638,TBXA2R,protein_coding,6,2,2,2,18,10,19,31
ENSG00000006652,IFRD1,protein_coding,1048,1050,960,975,188,66,70,198
ENSG00000006659,LGALS14,protein_coding,0,0,0,0,0,0,0,0
ENSG00000006695,COX10,protein_coding,649,682,952,1089,659,252,385,1063
ENSG00000006704,GTF2IRD1,protein_coding,1319,1433,712,955,208,67,112,286
ENSG00000006712,PAF1,protein_coding,5772,6815,5400,6814,706,180,289,789
ENSG00000006715,VPS41,protein_coding,1797,2181,2239,2603,1926,631,728,1914
ENSG00000006740,ARHGAP44,protein_coding,1029,1026,649,925,226,72,102,281
ENSG00000006744,ELAC2,protein_coding,2556,2940,3289,4115,492,141,297,672
ENSG00000006747,SCIN,protein_coding,46,70,74,79,12,5,6,18
ENSG00000006756,ARSD,protein_coding,1125,1278,1253,1632,284,103,127,319
ENSG00000006757,PNPLA4,protein_coding,1078,1233,1537,2276,455,192,263,647
ENSG00000006788,MYH13,protein_coding,9,21,6,14,0,0,0,0
ENSG00000006831,ADIPOR2,protein_coding,1854,2189,1734,2241,414,152,174,513
ENSG00000006837,CDKL3,protein_coding,47,75,56,78,5,2,3,12
ENSG00000007001,UPP2,protein_coding,0,0,1,2,0,0,2,0
ENSG00000007038,PRSS21,protein_coding,1,0,1,1,0,0,0,0
ENSG00000007047,MARK4,protein_coding,542,616,339,514,86,31,44,106
ENSG00000007062,PROM1,protein_coding,2,2,4,6,12,4,1,2
ENSG00000007080,CCDC124,protein_coding,2398,2483,2514,4199,618,220,361,822
ENSG00000007129,CEACAM21,protein_coding,1,0,0,0,0,0,0,0
ENSG00000007168,PAFAH1B1,protein_coding,5557,6938,5214,5542,3652,1234,956,2773
ENSG00000007171,NOS2,protein_coding,0,1,0,1,18,5,11,15
ENSG00000007174,DNAH9,protein_coding,107,101,70,89,1,0,0,0
ENSG00000007202,KIAA0100,protein_coding,13018,15911,11321,14248,5019,1544,1687,4708
ENSG00000007216,SLC13A2,protein_coding,0,1,0,1,0,0,0,0
ENSG00000007237,GAS7,protein_coding,22,17,5,9,1,2,4,2
ENSG00000007255,TRAPPC6A,protein_coding,173,162,188,356,43,19,31,66
ENSG00000007264,MATK,protein_coding,9,6,5,13,7,6,7,23
ENSG00000007306,CEACAM7,protein_coding,0,0,0,0,0,0,0,0
ENSG00000007312,CD79B,protein_coding,0,0,0,0,0,0,1,0
ENSG00000007314,SCN4A,protein_coding,0,1,2,0,2,1,2,3
ENSG00000007341,ST7L,protein_coding,878,995,1422,1535,554,183,226,588
ENSG00000007350,TKTL1,protein_coding,10,16,7,4,2,0,0,0
ENSG00000007372,PAX6,protein_coding,0,2,0,3,280,81,123,301
ENSG00000007376,RPUSD1,protein_coding,629,814,560,1019,554,196,371,877
ENSG00000007384,RHBDF1,protein_coding,1628,1947,1040,1351,408,132,117,313
ENSG00000007392,LUC7L,protein_coding,3987,4511,2380,2720,115,31,35,117
ENSG00000007402,CACNA2D2,protein_coding,347,281,291,479,88,28,46,114
ENSG00000007516,BAIAP3,protein_coding,281,293,220,269,77,33,42,76
ENSG00000007520,TSR3,protein_coding,345,412,393,891,148,48,103,262
ENSG00000007541,PIGQ,protein_coding,760,791,492,850,163,71,85,244
ENSG00000007545,CRAMP1,protein_coding,455,590,385,521,32,14,8,24
ENSG00000007866,TEAD3,protein_coding,1224,1400,754,1058,288,114,78,239
ENSG00000007908,SELE,protein_coding,0,4,2,2,0,0,0,0
ENSG00000007923,DNAJC11,protein_coding,2565,2919,2517,3012,923,322,367,895
ENSG00000007933,FMO3,protein_coding,6,6,4,3,2,1,3,3
ENSG00000007944,MYLIP,protein_coding,1015,1057,721,963,303,103,173,423
ENSG00000007952,NOX1,protein_coding,36,34,52,42,9,0,5,10
ENSG00000007968,E2F2,protein_coding,243,342,361,333,59,27,36,121
ENSG00000008018,PSMB1,protein_coding,5966,7852,9083,9263,2503,833,893,2185
ENSG00000008056,SYN1,protein_coding,11,3,4,6,41,7,3,15
ENSG00000008083,JARID2,protein_coding,1950,2309,1358,1691,339,126,137,315
ENSG00000008086,CDKL5,protein_coding,468,539,461,464,2229,750,491,1475
ENSG00000008118,CAMK1G,protein_coding,2,2,1,4,14,7,6,20
ENSG00000008128,CDK11A,protein_coding,92,95,54,90,1,0,0,1
ENSG00000008130,NADK,protein_coding,1893,2181,1866,2050,168,70,102,293
ENSG00000008196,TFAP2B,protein_coding,1,0,1,2,0,0,1,1
ENSG00000008197,TFAP2D,protein_coding,0,0,0,0,0,0,0,0
ENSG00000008226,DLEC1,protein_coding,31,30,29,24,3,1,0,4
ENSG00000008256,CYTH3,protein_coding,1234,1477,2083,2225,155,47,74,222
ENSG00000008277,ADAM22,protein_coding,705,857,1149,1303,392,131,172,425
ENSG00000008282,SYPL1,protein_coding,5437,6652,6669,5933,2529,906,747,2089
ENSG00000008283,CYB561,protein_coding,4165,5083,4768,5107,1568,548,824,2078
ENSG00000008294,SPAG9,protein_coding,2364,2610,2286,2463,1759,520,566,1628
ENSG00000008300,CELSR3,protein_coding,809,915,309,457,87,45,37,83
ENSG00000008311,AASS,protein_coding,1481,1724,2321,2536,1057,343,440,1377
ENSG00000008323,PLEKHG6,protein_coding,76,72,42,44,38,13,16,59
ENSG00000008324,SS18L2,protein_coding,370,448,354,470,85,31,38,102
ENSG00000008382,MPND,protein_coding,160,163,188,382,29,14,34,53
ENSG00000008394,MGST1,protein_coding,8057,9361,16947,20690,5702,1945,1891,5800
ENSG00000008405,CRY1,protein_coding,1120,1286,694,826,704,222,213,438
ENSG00000008438,PGLYRP1,protein_coding,0,2,6,3,2,2,3,3
ENSG00000008441,NFIX,protein_coding,29315,32229,27349,38229,1576,522,543,1598
ENSG00000008513,ST3GAL1,protein_coding,32077,35057,27535,34998,3761,1273,968,2417
ENSG00000008516,MMP25,protein_coding,42,29,26,29,8,7,5,21
ENSG00000008517,IL32,protein_coding,749,862,351,376,427,180,184,485
ENSG00000008710,PKD1,protein_coding,2408,2295,1464,2263,202,90,108,272
ENSG00000008735,MAPK8IP2,protein_coding,422,507,387,845,23,3,4,9
ENSG00000008838,MED24,protein_coding,2207,2764,1931,2720,515,175,272,583
ENSG00000008853,RHOBTB2,protein_coding,399,446,460,651,288,84,165,434
ENSG00000008869,HEATR5B,protein_coding,1875,2195,2014,2303,794,285,324,788
ENSG00000008952,SEC62,protein_coding,7837,8921,9378,11578,444,105,151,541
ENSG00000008988,RPS20,protein_coding,8702,10443,10424,15819,2215,717,865,2097
ENSG00000009307,CSDE1,protein_coding,41323,46832,42576,47359,11834,3667,3714,10540
ENSG00000009335,UBE3C,protein_coding,5752,6796,5912,6545,3278,1052,1258,3042
ENSG00000009413,REV3L,protein_coding,2009,2538,1504,1559,1044,338,471,1286
ENSG00000009694,TENM1,protein_coding,1281,1424,468,559,18,9,1,16
ENSG00000009709,PAX7,protein_coding,0,0,0,1,1,0,0,0
ENSG00000009724,MASP2,protein_coding,216,232,182,218,73,22,33,98
ENSG00000009765,IYD,protein_coding,501,545,619,572,0,2,2,1
ENSG00000009780,FAM76A,protein_coding,546,569,604,684,267,81,111,320
ENSG00000009790,TRAF3IP3,protein_coding,18,22,7,16,7,3,1,5
ENSG00000009830,POMT2,protein_coding,1359,1633,971,1137,203,69,87,230
ENSG00000009844,VTA1,protein_coding,4157,4725,4302,4550,2411,857,862,2552
ENSG00000009950,MLXIPL,protein_coding,270,239,268,332,32,14,25,61
ENSG00000009954,BAZ1B,protein_coding,10078,11627,9113,9988,519,159,261,679
ENSG00000010017,RANBP9,protein_coding,3848,4008,2747,2904,682,224,240,737
ENSG00000010030,ETV7,protein_coding,4,11,24,40,7,0,1,3
ENSG00000010072,SPRTN,protein_coding,695,873,779,863,313,105,129,403
ENSG00000010165,EEF1AKNMT,protein_coding,887,1141,1418,1897,824,283,497,1210
ENSG00000010219,DYRK4,protein_coding,877,1026,807,1030,331,101,167,463
ENSG00000010244,ZNF207,protein_coding,7330,8596,7972,9302,3514,1302,1351,3777
ENSG00000010256,UQCRC1,protein_coding,3155,3586,2879,4982,2028,671,918,2208
ENSG00000010270,STARD3NL,protein_coding,1660,1833,1863,2236,885,310,334,880
ENSG00000010278,CD9,protein_coding,42479,41756,29716,45053,2572,785,628,1792
ENSG00000010282,HHATL,protein_coding,2,4,1,3,0,0,0,0
ENSG00000010292,NCAPD2,protein_coding,3546,4163,4192,4060,3597,1259,1405,3858
ENSG00000010295,IFFO1,protein_coding,15,16,13,3,26,8,5,11
ENSG00000010310,GIPR,protein_coding,2,2,1,4,15,8,2,15
ENSG00000010318,PHF7,protein_coding,375,360,417,493,100,41,51,157
ENSG00000010319,SEMA3G,protein_coding,351,336,353,405,10,4,5,13
ENSG00000010322,NISCH,protein_coding,4662,5032,4012,5528,708,256,333,889
ENSG00000010327,STAB1,protein_coding,16,12,5,8,6,2,2,9
ENSG00000010361,FUZ,protein_coding,225,233,122,220,51,5,21,58
ENSG00000010379,SLC6A13,protein_coding,10,11,10,13,0,0,1,1
ENSG00000010404,IDS,protein_coding,330,162,232,145,165,56,70,170
ENSG00000010438,PRSS3,protein_coding,0,1,1,4,47,15,5,27
ENSG00000010539,ZNF200,protein_coding,468,575,522,499,100,44,46,132
ENSG00000010610,CD4,protein_coding,15,20,9,19,0,0,0,0
ENSG00000010626,LRRC23,protein_coding,456,519,604,672,87,38,47,100
ENSG00000010671,BTK,protein_coding,7,4,9,8,10,2,4,19
ENSG00000010704,HFE,protein_coding,140,200,225,195,7,0,2,1
ENSG00000010803,SCMH1,protein_coding,2328,2529,2497,3053,463,153,194,644
ENSG00000010810,FYN,protein_coding,253,265,91,179,313,106,114,301
ENSG00000010818,HIVEP2,protein_coding,2958,3419,1789,1910,1950,623,407,1146
ENSG00000010932,FMO1,protein_coding,27,34,33,48,4,3,2,4
ENSG00000011007,ELOA,protein_coding,3026,3600,2612,3118,714,246,293,799
ENSG00000011009,LYPLA2,protein_coding,978,1121,749,1130,234,88,142,320
ENSG00000011021,CLCN6,protein_coding,993,1272,737,847,181,64,66,220
ENSG00000011028,MRC2,protein_coding,9,4,13,13,332,120,101,275
ENSG00000011052,NME1-NME2,protein_coding,0,0,0,0,0,0,0,0
ENSG00000011083,SLC6A7,protein_coding,0,0,0,0,0,1,0,0
ENSG00000011105,TSPAN9,protein_coding,756,862,862,1359,360,145,218,538
ENSG00000011114,BTBD7,protein_coding,2691,3086,2260,2346,506,170,177,477
ENSG00000011132,APBA3,protein_coding,371,414,294,470,176,69,97,273
ENSG00000011143,MKS1,protein_coding,702,843,666,799,241,105,159,403
ENSG00000011198,ABHD5,protein_coding,1563,1738,1601,1727,1800,640,457,1338
ENSG00000011201,ANOS1,protein_coding,3,1,5,3,4326,1489,1302,3697
ENSG00000011243,AKAP8L,protein_coding,3651,4010,2187,2746,634,191,212,587
ENSG00000011258,MBTD1,protein_coding,1979,2198,1871,1998,1711,582,551,1507
ENSG00000011260,UTP18,protein_coding,1125,1293,1292,1518,269,89,116,326
ENSG00000011275,RNF216,protein_coding,1488,1801,1138,1445,1140,391,462,1236
ENSG00000011295,TTC19,protein_coding,4800,5519,3431,3677,615,246,246,774
ENSG00000011304,PTBP1,protein_coding,6626,8023,7621,9062,2878,970,903,2542
ENSG00000011332,DPF1,protein_coding,250,238,216,278,51,22,31,88
ENSG00000011347,SYT7,protein_coding,3978,3956,2783,3727,115,46,37,151
ENSG00000011376,LARS2,protein_coding,2282,2615,3405,4228,690,226,380,1010
ENSG00000011405,PIK3C2A,protein_coding,6029,6639,4510,4390,2091,574,690,1880
ENSG00000011422,PLAUR,protein_coding,69,85,38,52,2205,963,692,1723
ENSG00000011426,ANLN,protein_coding,4575,5394,6302,6096,10629,3369,3488,10092
ENSG00000011451,WIZ,protein_coding,5098,5646,2374,3355,654,236,287,702
ENSG00000011454,RABGAP1,protein_coding,5564,6430,5573,6126,427,129,148,426
ENSG00000011465,DCN,protein_coding,2,0,0,0,0,0,0,0
ENSG00000011478,QPCTL,protein_coding,132,146,112,183,132,54,73,182
ENSG00000011485,PPP5C,protein_coding,1521,1746,1779,2223,494,179,301,767
ENSG00000011523,CEP68,protein_coding,577,566,750,878,404,164,226,681
ENSG00000011566,MAP4K3,protein_coding,1515,1620,1236,1271,850,290,245,786
ENSG00000011590,ZBTB32,protein_coding,48,49,81,122,2,1,4,17
ENSG00000011600,TYROBP,protein_coding,0,0,0,0,0,0,0,0
ENSG00000011638,TMEM159,protein_coding,570,639,437,515,226,76,89,210
ENSG00000011677,GABRA3,protein_coding,179,218,181,236,255,69,64,181
ENSG00000012048,BRCA1,protein_coding,2071,2480,3458,3562,674,255,329,914
ENSG00000012061,ERCC1,protein_coding,465,575,529,775,801,333,340,786
ENSG00000012124,CD22,protein_coding,14,20,7,3,0,0,2,0
ENSG00000012171,SEMA3B,protein_coding,488,531,243,532,299,121,88,244
ENSG00000012174,MBTPS2,protein_coding,1878,2283,2266,2283,2872,1112,1260,3393
ENSG00000012211,PRICKLE3,protein_coding,521,647,431,673,116,37,63,138
ENSG00000012223,LTF,protein_coding,21,28,106,257,0,0,0,0
ENSG00000012232,EXTL3,protein_coding,1241,1424,868,1175,1436,501,581,1583
ENSG00000012504,NR1H4,protein_coding,2,4,0,1,0,0,0,0
ENSG00000012660,ELOVL5,protein_coding,164582,203158,86541,96501,6637,2244,2869,7246
ENSG00000012779,ALOX5,protein_coding,16,14,7,11,59,23,20,35
ENSG00000012817,KDM5D,protein_coding,1947,2354,2081,2512,0,0,0,0
ENSG00000012822,CALCOCO1,protein_coding,3069,3084,1653,1918,1147,388,252,824
ENSG00000012963,UBR7,protein_coding,1800,2044,1877,2189,522,163,202,539
ENSG00000012983,MAP4K5,protein_coding,3468,3720,2256,2312,4195,1358,1040,2927
ENSG00000013016,EHD3,protein_coding,570,694,710,1184,293,87,160,362
ENSG00000013275,PSMC4,protein_coding,3446,3977,3141,4393,1629,540,596,1643
ENSG00000013288,MAN2B2,protein_coding,1876,2255,1893,2241,152,51,58,158
ENSG00000013293,SLC7A14,protein_coding,0,2,0,0,3,1,2,0
ENSG00000013297,CLDN11,protein_coding,9,11,7,4,237,108,125,409
ENSG00000013306,SLC25A39,protein_coding,3055,3535,3042,5457,4739,1717,2524,6235
ENSG00000013364,MVP,protein_coding,221,258,299,475,469,173,209,570
ENSG00000013374,NUB1,protein_coding,3345,3879,4411,5124,986,317,418,1185
ENSG00000013375,PGM3,protein_coding,1950,2506,2566,2750,1702,591,460,1367
ENSG00000013392,RWDD2A,protein_coding,1585,2086,1857,2144,105,31,24,81
ENSG00000013441,CLK1,protein_coding,11472,11641,4611,5038,2643,829,540,1232
ENSG00000013503,POLR3B,protein_coding,1353,1763,2623,2760,686,219,328,898
ENSG00000013523,ANGEL1,protein_coding,1246,1348,1108,1528,125,56,94,264
ENSG00000013561,RNF14,protein_coding,2437,2805,2363,2954,621,202,234,674
ENSG00000013563,DNASE1L1,protein_coding,438,482,268,415,71,33,41,91
ENSG00000013573,DDX11,protein_coding,1144,1220,971,1193,257,85,136,338
ENSG00000013583,HEBP1,protein_coding,1337,1659,2122,2145,386,124,165,404
ENSG00000013588,GPRC5A,protein_coding,3,4,9,5,11759,4153,2116,5767
ENSG00000013619,MAMLD1,protein_coding,108,93,58,70,190,73,69,217
ENSG00000013725,CD6,protein_coding,0,0,0,0,10,3,6,14
ENSG00000013810,TACC3,protein_coding,3979,4622,3701,4465,686,205,370,852
ENSG00000014123,UFL1,protein_coding,3447,3761,4946,5166,739,289,346,973
ENSG00000014138,POLA2,protein_coding,186,229,167,217,263,121,160,380
ENSG00000014164,ZC3H3,protein_coding,232,286,207,332,240,110,96,314
ENSG00000014216,CAPN1,protein_coding,3914,4494,2800,4111,3392,1182,961,2502
